date,net_profit_yi,non_gaap_yi,net_profit_ttm_yi,non_gaap_ttm_yi,quarter,trade_date,adj_close,close,quarter_label,profit_ttm_yi
2016-03-31,0.073567,0.089969,2.485436,2.425531,2016Q1,2016-03-31,3.97196364402771,6.609012126922607,2016Q1,2.425531
2016-06-30,1.266869,1.241288,2.680312,2.60573,2016Q2,2016-06-30,4.438052177429199,7.114245891571045,2016Q2,2.60573
2016-09-30,1.020062,1.01327,2.82758,2.744214,2016Q3,2016-09-30,4.227932929992676,6.777422904968262,2016Q3,2.744214
2016-12-31,0.594256,0.598789,2.9547540000000003,2.943316,2016Q4,2016-12-30,4.068924427032471,6.5225300788879395,2016Q4,2.943316
2017-03-31,0.093623,0.095798,2.97481,2.9491449999999997,2017Q1,2017-03-31,4.173984527587891,6.69094181060791,2017Q1,2.9491449999999997
2017-06-30,1.537828,1.506522,3.245769,3.214379,2017Q2,2017-06-30,3.997450590133667,6.183431148529053,2017Q2,3.214379
2017-09-30,1.163711,1.13195,3.3894179999999996,3.333059,2017Q3,2017-09-29,4.138987064361572,6.4023661613464355,2017Q3,3.333059
2017-12-31,0.850428,0.861174,3.64559,3.595444,2017Q4,2017-12-29,4.379981517791748,6.775146961212158,2017Q4,3.595444
2018-03-31,0.1632,0.138302,3.715167,3.637948,2018Q1,2018-03-30,4.349379062652588,6.727809906005859,2018Q1,3.637948
2018-06-30,1.64421,1.617737,3.8215489999999996,3.7491630000000002,2018Q2,2018-06-29,4.388582706451416,6.515384197235107,2018Q2,3.7491630000000002
2018-09-30,1.216889,1.214797,3.874727,3.83201,2018Q3,2018-09-28,4.036252498626709,5.992307186126709,2018Q3,3.83201
2018-12-31,0.078557,0.08285,3.102856,3.053686,2018Q4,2018-12-28,3.6372902393341064,5.400000095367432,2018Q4,3.053686
2019-03-31,0.193189,0.173057,3.132845,3.088441,2019Q1,2019-03-29,3.9637131690979004,5.884614944458008,2019Q1,3.088441
2019-06-30,1.466661,1.3959,2.955296,2.8666039999999997,2019Q2,2019-06-28,3.67720627784729,5.199999809265137,2019Q2,2.8666039999999997
