每股指标,摊薄每股净资产_期末股数,8.867057,8.026826,7.570004,7.16596,9.947331,9.090871,9.33217,8.623085,13.939149,13.563944,12.862852,17.836426,17.832314,17.529302,17.04054,16.64868,16.157298,15.2617,10.224366,9.235503,8.690401,8.282465,7.542217,7.061669,6.784419,6.896931,6.780808,6.47687,6.635889,6.618062,6.794738,6.606254,6.847793,6.879779,6.910046,6.745361,6.622356,6.511815,7.25281,7.030568,,6.496521,,6.130194,5.613357,4.845069,4.116683
每股指标,调整每股净资产_期末股数,7.890159,7.02978,6.551893,6.174032,8.558087,7.826902,7.868409,7.155613,11.931413,11.672732,10.947562,15.230291,15.4751,15.762445,15.408989,14.867267,14.654217,13.967114,8.809855,8.026878,7.564161,7.239347,6.914211,6.478032,6.228788,6.33712,6.226534,5.907109,6.153175,6.140835,6.296036,6.094255,6.465871,6.493819,6.539098,6.376259,6.250025,6.142052,6.80095,6.575622,,6.012533,,5.664754,5.138272,4.34119,3.620751
每股指标,每股净资产_最新股数,6.115211,5.535742,5.1978,4.92037,4.878676,4.458624,4.555439,4.209304,4.860219,4.729395,4.462909,4.420389,4.41937,4.344275,4.20119,4.10458,3.983488,3.762684,2.355849,2.128847,2.003198,1.909165,1.738533,1.627764,1.565082,1.591037,1.564249,1.494134,1.530818,1.526706,1.521254,1.479055,1.533133,1.540294,1.54707,1.5102,1.48266,1.457912,1.217858,1.18054,,1.090865,,1.029353,0.942569,0.813561,0.691254
每股指标,每股经营现金流,0.84587,3.057218,2.341645,1.245368,1.087718,2.37937,2.039077,1.070599,0.669704,2.548922,1.822405,1.173092,0.658775,3.232604,2.934129,1.527132,1.172755,3.484339,2.273505,0.965946,0.574555,1.483126,0.804632,0.188368,0.027964,0.898717,0.716433,0.46557,0.152972,0.533893,0.518117,0.464418,0.109599,0.408715,0.196009,0.087592,0.171974,0.35153,0.550844,0.413982,,0.357212,,0.216637,0.139974,0.699365,0.408986
每股指标,每股现金流量净额,0.731722,0.095738,0.038276,0.03741,0.77054,-0.670934,0.131233,-0.512812,0.701781,-0.22748,-0.672738,-0.872674,-0.277908,-1.935526,-1.934079,-2.49587,-0.587344,7.2982,1.529822,0.56276,0.565452,-0.013212,0.269786,0.031404,-0.183177,0.120537,0.232986,0.452389,0.008237,0.073819,-0.039515,0.104802,0.052921,-0.85407,-0.863416,-0.878928,-0.636679,0.997254,0.191941,0.137517,,-0.167737,,-0.078486,-1.05981,-0.122692,0.850367
每股指标,每股企业自由现金流量,,1.925098,,0.914531,,2.967334,,2.345599,,1.060208,,0.970446,,-0.112607,,0.005397,,-4.919007,,0.397511,,0.231794,,-0.268774,,0.395961,,0.222291,,0.264301,,0.182945,,0.2889,,0.207285,,-0.413729,0.33193,0.268289,,1.173418,,1.22503,1.00831,,
每股指标,每股股东自由现金流量,,1.397564,,0.792256,,3.709135,,3.377562,,1.622054,,1.535066,,-1.241848,,-1.129744,,-4.691982,,0.640332,,0.110384,,0.095456,,0.881222,,0.828866,,0.264301,,0.182945,,-0.436099,,-0.517714,,-0.538729,0.165264,0.101622,,0.556752,,1.713364,2.10331,,
每股指标,每股未分配利润,3.99086,3.15324,2.917039,2.540693,3.478902,2.6464,3.046465,2.35022,5.210187,4.931279,4.616501,6.395101,6.62264,6.404139,6.339796,5.906652,5.779125,4.937218,4.844889,4.194687,3.874636,3.471478,3.120365,2.653907,2.464151,2.590741,2.572692,2.295792,2.489219,2.476331,2.570374,2.38189,2.623429,2.655415,2.738451,2.573767,2.450762,2.340221,3.06378,2.841537,,2.30749,,1.981196,1.518159,0.827369,0.171994
每股指标,每股资本公积金,3.370447,3.367836,3.295821,3.268123,4.968429,4.94447,4.942069,4.929229,7.247873,7.151576,6.889208,9.941325,9.709673,9.625162,9.200737,9.24202,8.938098,8.884407,3.943397,3.637024,3.503387,3.498609,3.147465,3.133375,3.122562,3.108483,3.081444,3.054406,3.027367,3.022429,2.873925,2.873925,2.873925,2.873925,2.873925,2.873925,2.873925,2.873925,2.883989,2.883989,,2.883989,,2.883989,2.883989,2.883989,2.883989
每股指标,每股盈余公积金,0.5,0.5,0.357142,0.357142,0.5,0.5,0.343634,0.343634,0.481088,0.481088,0.357142,0.5,0.5,0.5,0.500006,0.500006,0.5,0.5,0.500199,0.5,0.5,0.5,0.435358,0.435358,0.435017,0.435017,0.363982,0.363982,0.363982,0.363982,0.350438,0.350438,0.350438,0.350438,0.297668,0.297668,0.297668,0.297668,0.305041,0.305041,,0.305041,,0.265008,0.211208,0.13371,0.060699
每股指标,每股留存收益,4.49086,3.65324,3.274182,2.897836,3.978902,3.1464,3.3901,2.693855,5.691276,5.412367,4.973644,6.895101,7.12264,6.904139,6.839803,6.406659,6.279125,5.437218,5.345088,4.694687,4.374636,3.971478,3.555723,3.089265,2.899168,3.025759,2.936674,2.659774,2.853202,2.840313,2.920812,2.732328,2.973868,3.005854,3.03612,2.871436,2.748431,2.63789,3.368821,3.146578,,2.612531,,2.246204,1.729368,0.96108,0.232694
每股指标,每股营业收入,2.772952,10.034723,7.75927,4.739139,3.059303,11.089279,8.251648,5.112798,2.808239,11.779271,8.911834,7.740614,3.235956,14.113875,11.399918,6.817352,3.427617,11.668137,9.356524,5.613577,2.515617,8.361303,5.698367,2.875078,1.003391,6.580543,4.974722,3.049463,1.346427,5.231162,4.212148,2.526281,1.111511,4.500083,3.515252,2.284756,1.083671,4.23875,4.325894,2.756962,,4.790657,,4.244213,3.643857,3.538772,3.175621
每股指标,每股营业总收入,2.772952,10.034723,7.75927,4.739139,3.059303,11.089279,8.251648,5.112798,2.808239,11.779271,8.911834,7.740614,3.235956,14.113875,11.399918,6.817352,3.427617,11.668137,9.356524,5.613577,2.515617,8.361303,5.698367,2.875078,1.003391,6.580543,4.974722,3.049463,1.346427,5.231162,4.212148,2.526281,1.111511,4.500083,3.515252,2.284756,1.083671,4.23875,4.325894,2.756962,,4.790657,,4.244213,3.643857,3.538772,3.175621
每股指标,每股息税前利润,0.935767,3.265483,2.822818,1.579422,1.021599,2.286709,1.960306,1.161459,0.339205,2.138477,1.641491,1.054762,0.24883,2.649827,2.704705,1.58188,0.978774,2.832516,2.395227,1.242362,0.522321,1.317037,0.803071,0.215353,-0.121688,0.488573,0.405137,0.077233,0.025065,0.172749,0.194203,-0.020245,-0.030928,0.610538,0.645779,0.443992,0.137769,0.897916,0.991804,0.704617,,0.637777,,0.81039,0.933507,0.869466,0.718033
