date,quarter,trade_date,adj_close,close,net_profit_yi,non_gaap_yi,revenue_yi,non_gaap_ttm_yi,net_profit_ttm_yi
2021-06-30,2021Q2,2021-06-30,47.21905517578125,55.849998474121094,9.139932,8.487761,58.37201641,31.736254000000002,34.060572
2021-09-30,2021Q3,2021-09-30,36.20698928833008,42.25,8.265206,7.169678,56.09762969,31.727728,34.736406
2021-12-31,2021Q4,2021-12-31,40.3975715637207,47.13999938964844,5.50399,4.372266,64.50131972,28.159358,31.461671
2022-03-31,2022Q1,2022-03-31,30.490995407104492,35.58000183105469,8.711813,8.555879,65.47759461,28.585584,31.620941
2022-06-30,2022Q2,2022-06-30,36.798301696777344,41.810001373291016,15.107176,14.54715,63.55939599,34.644973,37.588185
2022-09-30,2022Q3,2022-09-30,31.51750946044922,35.810001373291016,15.189297,15.046025,75.36370107,42.52132,44.512276
2022-12-31,2022Q4,2022-12-30,30.866212844848633,35.06999969482422,8.547669,8.508001,76.58684999,46.657055,47.555955
2023-03-31,2023Q1,2023-03-31,30.593368530273438,34.7599983215332,9.145086,8.779569,70.52428277,46.880745000000005,47.989228
2023-06-30,2023Q2,2023-06-30,32.73605728149414,35.849998474121094,19.217341,19.149576,79.78830651,51.483171,52.099393
2023-09-30,2023Q3,2023-09-28,33.71311950683594,36.91999816894531,12.896902,12.691479,87.94601968,49.128625,49.80699800000001
2023-12-31,2023Q4,2023-12-29,34.142295837402344,37.38999938964844,15.033231,14.654053,93.35135745,55.274677,56.29256000000001
2024-03-31,2024Q1,2024-03-29,39.50242233276367,43.2599983215332,13.878255,15.178785,88.35664711,61.673893,61.025729
2024-06-30,2024Q2,2024-06-28,44.900062561035156,47.900001525878906,21.107803,20.584388,95.04065521,63.108705,62.916191
2024-09-30,2024Q3,2024-09-30,54.55498123168945,58.20000076293945,19.801785,19.743211,99.73781592,70.160437,69.82107400000001
2024-12-31,2024Q4,2024-12-31,58.491939544677734,62.400001525878906,20.191919,18.953612,109.38145443,74.459996,74.979762
2025-03-31,2025Q1,2025-03-31,54.90180587768555,58.56999969482422,20.297404,19.869382,99.10012731,79.150593,81.398911
2025-06-30,2025Q2,2025-06-30,55.14381790161133,57.0099983215332,27.749713,27.197444,115.37378985,85.763649,88.040821
2025-09-30,2025Q3,2025-09-30,71.0069808959961,73.41000366210938,22.591424,22.149515,118.54516214,88.16995299999999,90.83046
2025-12-31,2025Q4,2025-12-31,63.46261215209961,64.7699966430664,22.4845,22.430503,124.85527633,91.64684400000002,93.123041
2026-03-31,2026Q1,2026-03-31,55.84945297241211,57.0,17.115396,16.42762,104.13026492,88.205082,89.941033
