date,net_profit_yuan,non_gaap_yuan,revenue_yuan,eps,net_profit_yi,non_gaap_yi,revenue_yi,net_profit_ttm_yi,non_gaap_ttm_yi,eps_ttm,trade_date,adj_close,close
2018-12-31,859789200.0,811038600.0,2954030791.05,1.32,8.597892,8.110386,29.5403079105,20.848661,19.151044,3.1918,2018-12-28,31.823806762695312,39.54999923706055
2019-03-31,393179900.0,368111500.0,1291783493.19,0.6012,3.931799,3.681115,12.9178349319,18.686301999999998,16.860562,2.8612,2019-03-29,38.18052673339844,47.45000076293945
2019-06-30,-200216200.0,-224188100.0,598561068.94,-0.25,-2.002162,-2.241881,5.9856106894000005,14.155771000000001,12.789940999999999,2.2212,2019-06-28,32.04106521606445,39.81999969482422
2019-09-30,15935300.0,-4570400.0,939729792.97,-0.03,0.159353,-0.045704,9.3972979297,10.686881999999999,9.503916,1.6412000000000002,2019-09-30,25.33004379272461,30.479999542236328
2019-12-31,-663729600.0,-676144900.0,140001310.05,-1.02,-6.637296,-6.761449,1.4000131005,-4.548306,-5.367919000000001,-0.6988000000000001,2019-12-31,29.39381980895996,35.369998931884766
2020-03-31,-83867500.0,-93809500.0,437737253.85,-0.1291,-0.838675,-0.938095,4.3773725385,-9.31878,-9.987129000000003,-1.4291,2020-03-31,21.3410587310791,25.68000030517578
2020-06-30,-152500.0,-11452200.0,657440499.37,-0.0004,-0.001525,-0.114522,6.5744049937,-7.318143,-7.859770000000001,-1.1795,2020-06-30,29.742855072021484,35.790000915527344
2020-09-30,63036700.0,46821100.0,945376160.72,0.1,0.630367,0.468211,9.4537616072,-6.847129,-7.345855000000002,-1.0495,2020-09-30,33.04143524169922,39.529998779296875
2020-12-31,64272600.0,18978500.0,1368883250.07,0.1,0.642726,0.189785,13.688832500699998,0.4328930000000001,-0.3946210000000018,0.07050000000000002,2020-12-31,32.35603332519531,38.709999084472656
2021-03-31,61649000.0,44656300.0,733470888.88,0.0956,0.61649,0.446563,7.3347088888,1.888058,0.9900369999999982,0.2952,2021-03-31,31.578691482543945,37.779998779296875
2021-06-30,87989800.0,63330200.0,953212874.34,0.14,0.879898,0.633302,9.5321287434,2.769481,1.737860999999998,0.43560000000000004,2021-06-30,30.015634536743164,35.90999984741211
2021-09-30,151633200.0,126861600.0,1139206046.67,0.24,1.516332,1.268616,11.3920604667,3.655446,2.5382659999999984,0.5756,2021-09-30,29.564851760864258,35.02000045776367
2021-12-31,139168100.0,117535700.0,1023095876.67,0.21,1.391681,1.175357,10.230958766699999,4.404401,3.523837999999998,0.6856,2021-12-31,41.15609359741211,48.75
2022-03-31,114675700.0,91514600.0,890447328.43,0.1781,1.146757,0.915146,8.9044732843,4.934668,3.9924209999999984,0.7681,2022-03-31,28.61931800842285,33.900001525878906
2022-06-30,193586700.0,175363100.0,935449681.31,0.3,1.935867,1.753631,9.354496813099999,5.990637,5.112749999999998,0.9280999999999999,2022-06-30,31.1942138671875,36.95000076293945
2022-09-30,204636000.0,185420600.0,1220600181.06,0.32,2.04636,1.854206,12.2060018106,6.520665,5.698339999999998,1.0081,2022-09-30,27.851871490478516,32.38999938964844
2022-12-31,267099800.0,247531700.0,995321156.74,0.41,2.670998,2.475317,9.9532115674,7.799982,6.998299999999999,1.2081,2022-12-30,34.9975700378418,40.70000076293945
2023-03-31,230335500.0,212304400.0,1069042839.05,0.3577,2.303355,2.123044,10.6904283905,8.956579999999999,8.206197999999999,1.3877,2023-03-31,45.56563186645508,52.9900016784668
2023-06-30,300778100.0,277639900.0,1098096184.09,0.47,3.007781,2.776399,10.9809618409,10.028494,9.228965999999998,1.5577,2023-06-30,47.10710144042969,53.45000076293945
2023-09-30,252559800.0,210479700.0,1261143477.52,0.39,2.525598,2.104797,12.6114347752,10.507732,9.479557,1.6277,2023-09-28,43.23805618286133,49.060001373291016
2023-12-31,367205200.0,382204600.0,1286983228.84,0.57,3.672052,3.822046,12.8698322884,11.508786,10.826285999999998,1.7877,2023-12-29,43.467201232910156,49.31999969482422
2024-03-31,353403500.0,328636200.0,1453383433.75,0.5488,3.534035,3.286362,14.5338343375,12.739466,11.989603999999998,1.9788,2024-03-29,54.21943283081055,61.52000045776367
2024-06-30,385015600.0,370941700.0,1294574444.51,0.6,3.850156,3.709417,12.9457444451,13.581841,12.922621999999999,2.1088,2024-06-28,56.61554718017578,62.599998474121094
2024-09-30,414011500.0,367356400.0,1817192587.38,0.64,4.140115,3.673564,18.171925873800003,15.196358,14.491388999999998,2.3588,2024-09-30,57.0915641784668,61.70000076293945
2024-12-31,404701600.0,374780200.0,1591557586.36,0.63,4.047016,3.747802,15.915575863599999,15.571321999999999,14.417144999999998,2.4188,2024-12-31,58.03538131713867,62.720001220703125
2025-03-31,424508300.0,416362500.0,1719320437.8,0.6607,4.245083,4.163625,17.193204378,16.28237,15.294407999999997,2.5307,2025-03-31,55.93492889404297,60.45000076293945
2025-06-30,393209100.0,371199200.0,1331396853.89,0.61,3.932091,3.711992,13.313968538900001,16.364305,15.296982999999997,2.5406999999999997,2025-06-30,49.53391647338867,52.29999923706055
2025-09-30,456102700.0,367622100.0,1715653351.83,0.71,4.561027,3.676221,17.156533518299998,16.785217,15.299639999999998,2.6107,2025-09-30,46.02596664428711,47.400001525878906
2025-12-31,464921000.0,482901000.0,1934103540.95,0.72,4.64921,4.82901,19.3410354095,17.387411,16.380847999999997,2.7007,2025-12-31,47.65726852416992,49.08000183105469
2026-03-31,454808600.0,448362600.0,1814224387.34,0.708,4.548086,4.483626,18.142243873399998,17.690414,16.700848999999998,2.748,2026-03-31,55.512752532958984,57.16999816894531
