date,close,ttm_cny,market_cap_hkd,pe_ttm
2021-06-23,40.1,52.77,4510.0,76.92
2021-06-24,40.1,52.77,4510.0,76.92
2021-06-25,41.05,52.77,4616.8,78.74
2021-06-28,40.4,52.77,4543.7,77.49
2021-06-29,39.3,52.77,4420.0,75.38
2021-06-30,38.95,64.5,4380.6,61.13
2021-07-02,38.9,64.5,4375.0,61.05
2021-07-05,39.45,64.5,4436.9,61.91
2021-07-06,38.95,64.5,4380.6,61.13
2021-07-07,38.95,64.5,4380.6,61.13
2021-07-08,38.3,64.5,4307.5,60.11
2021-07-09,39.05,64.5,4391.9,61.28
2021-07-12,42.35,64.5,4763.0,66.46
2021-07-13,43.45,64.5,4886.8,68.19
2021-07-14,44.55,64.5,5010.5,69.91
2021-07-15,44.9,64.5,5049.8,70.46
2021-07-16,44.4,64.5,4993.6,69.68
2021-07-19,44.15,64.5,4965.5,69.29
2021-07-20,45.05,64.5,5066.7,70.7
2021-07-21,44.25,64.5,4976.7,69.44
2021-07-22,43.45,64.5,4886.8,68.19
2021-07-23,42.2,64.5,4746.2,66.23
2021-07-26,41.95,64.5,4718.0,65.83
2021-07-27,41.85,64.5,4706.8,65.68
2021-07-28,40.8,64.5,4588.7,64.03
2021-07-29,40.95,64.5,4605.6,64.26
2021-07-30,40.0,64.5,4498.7,62.77
2021-08-02,40.4,64.5,4543.7,63.4
2021-08-03,40.7,64.5,4577.5,63.87
2021-08-04,41.5,64.5,4667.4,65.13
2021-08-05,42.0,64.5,4723.7,65.91
2021-08-06,41.4,64.5,4656.2,64.97
2021-08-09,41.75,64.5,4695.6,65.52
2021-08-10,41.95,64.5,4718.0,65.83
2021-08-11,41.6,64.5,4678.7,65.28
2021-08-12,40.6,64.5,4566.2,63.71
2021-08-13,40.35,64.5,4538.1,63.32
2021-08-16,39.7,64.5,4465.0,62.3
2021-08-17,39.45,64.5,4436.9,61.91
2021-08-18,40.05,64.5,4504.4,62.85
2021-08-19,39.05,64.5,4391.9,61.28
2021-08-20,39.15,64.5,4403.1,61.44
2021-08-23,39.7,64.5,4465.0,62.3
2021-08-24,40.5,64.5,4555.0,63.56
2021-08-25,39.3,64.5,4420.0,61.67
2021-08-26,39.95,64.5,4493.1,62.69
2021-08-27,39.7,64.5,4465.0,62.3
2021-08-30,39.9,64.5,4487.5,62.62
2021-08-31,41.15,64.5,4628.1,64.58
2021-09-01,40.9,64.5,4600.0,64.19
2021-09-02,40.25,64.5,4526.9,63.17
2021-09-03,40.7,64.5,4577.5,63.87
2021-09-06,40.5,64.5,4555.0,63.56
2021-09-07,40.5,64.5,4555.0,63.56
2021-09-08,39.35,64.5,4425.6,61.75
2021-09-09,39.3,64.5,4420.0,61.67
2021-09-10,38.95,64.5,4380.6,61.13
2021-09-13,38.1,64.5,4285.0,59.79
2021-09-14,38.05,64.5,4279.4,59.71
2021-09-15,37.85,64.5,4256.9,59.4
2021-09-16,38.15,64.5,4290.7,59.87
2021-09-17,38.75,64.5,4358.1,60.81
2021-09-20,37.7,64.5,4240.1,59.16
2021-09-21,37.45,64.5,4211.9,58.77
2021-09-23,36.95,64.5,4155.7,57.99
2021-09-24,36.8,64.5,4138.8,57.75
2021-09-27,38.4,64.5,4318.8,60.26
2021-09-28,38.6,64.5,4341.3,60.58
2021-09-29,38.7,64.5,4352.5,60.73
2021-09-30,39.65,64.5,4459.4,62.22
2021-10-04,38.85,64.5,4369.4,60.97
2021-10-05,39.6,64.5,4453.7,62.15
2021-10-06,39.2,64.5,4408.8,61.52
2021-10-07,39.05,64.5,4391.9,61.28
2021-10-08,38.45,64.5,4324.4,60.34
2021-10-11,38.1,64.5,4285.0,59.79
2021-10-12,37.75,64.5,4245.7,59.24
2021-10-15,38.5,64.5,4330.0,60.42
2021-10-18,37.35,64.5,4200.7,58.61
2021-10-19,37.65,64.5,4234.4,59.09
2021-10-20,37.9,64.5,4262.6,59.48
2021-10-21,37.85,64.5,4256.9,59.4
2021-10-22,38.55,64.5,4335.7,60.5
2021-10-25,38.55,64.5,4335.7,60.5
2021-10-26,39.6,64.5,4453.7,62.15
2021-10-27,39.65,64.5,4459.4,62.22
2021-10-28,39.3,64.5,4420.0,61.67
2021-10-29,39.45,64.5,4436.9,61.91
2021-11-01,39.8,64.5,4476.2,62.46
2021-11-02,40.25,64.5,4526.9,63.17
2021-11-03,39.65,64.5,4459.4,62.22
2021-11-04,39.6,64.5,4453.7,62.15
2021-11-05,40.6,64.5,4566.2,63.71
2021-11-08,40.85,64.5,4594.3,64.11
2021-11-09,40.4,64.5,4543.7,63.4
2021-11-10,40.35,64.5,4538.1,63.32
2021-11-11,40.8,64.5,4588.7,64.03
2021-11-12,44.25,64.5,4976.7,69.44
2021-11-15,45.0,64.5,5061.1,70.62
2021-11-16,48.35,64.5,5437.8,75.88
2021-11-17,48.25,64.5,5426.6,75.72
2021-11-18,48.4,64.5,5443.5,75.96
2021-11-19,48.9,64.5,5499.7,76.74
2021-11-22,45.8,64.5,5151.1,71.88
2021-11-23,46.25,64.5,5201.7,72.58
2021-11-24,46.9,64.5,5274.8,73.6
2021-11-25,46.5,64.5,5229.8,72.97
2021-11-26,46.2,64.5,5196.0,72.5
2021-11-29,46.4,64.5,5218.5,72.82
2021-11-30,44.7,64.5,5027.3,70.15
2021-12-01,45.5,64.5,5117.3,71.4
2021-12-02,46.6,64.5,5241.0,73.13
2021-12-03,46.65,64.5,5246.7,73.21
2021-12-06,44.5,64.5,5004.8,69.84
2021-12-07,45.1,64.5,5072.3,70.78
2021-12-08,46.3,64.5,5207.3,72.66
2021-12-09,47.35,64.5,5325.4,74.31
2021-12-10,47.25,64.5,5314.1,74.15
2021-12-13,47.35,64.5,5325.4,74.31
2021-12-14,48.0,64.5,5398.5,75.33
2021-12-15,47.85,64.5,5381.6,75.09
2021-12-16,48.25,64.5,5426.6,75.72
2021-12-17,49.0,64.5,5511.0,76.9
2021-12-20,48.35,64.5,5437.8,75.88
2021-12-21,49.2,64.5,5533.4,77.21
2021-12-22,49.3,64.5,5544.7,77.37
2021-12-23,49.85,64.5,5606.5,78.23
2021-12-24,50.0,64.5,5623.4,78.47
2021-12-28,50.2,64.5,5645.9,78.78
2021-12-29,50.6,64.5,5690.9,79.41
2021-12-30,51.2,64.5,5758.4,80.35
2021-12-31,51.45,71.62,5786.5,72.72
2022-01-03,52.65,71.62,5921.5,74.41
2022-01-04,47.5,71.62,5342.2,67.13
2022-01-05,46.6,71.62,5241.0,65.86
2022-01-06,46.75,71.62,5257.9,66.07
2022-01-07,46.45,71.62,5224.2,65.65
2022-01-10,45.1,71.62,5072.3,63.74
2022-01-11,43.95,71.62,4943.0,62.12
2022-01-12,44.5,71.62,5004.8,62.89
2022-01-13,44.85,71.62,5044.2,63.39
2022-01-14,44.45,71.62,4999.2,62.82
2022-01-17,43.3,71.62,4869.9,61.2
2022-01-18,43.5,71.62,4892.4,61.48
2022-01-19,43.35,71.62,4875.5,61.27
2022-01-20,44.2,71.62,4971.1,62.47
2022-01-21,46.3,71.62,5207.3,65.44
2022-01-24,46.9,71.62,5274.8,66.28
2022-01-25,46.95,71.62,5280.4,66.36
2022-01-26,46.05,71.62,5179.2,65.08
2022-01-27,46.25,71.62,5201.7,65.37
2022-01-28,46.0,71.62,5173.5,65.01
2022-01-31,47.45,71.62,5336.6,67.06
2022-02-04,48.85,71.62,5494.1,69.04
2022-02-07,46.35,71.62,5212.9,65.51
2022-02-08,45.75,71.62,5145.4,64.66
2022-02-09,46.25,71.62,5201.7,65.37
2022-02-10,47.35,71.62,5325.4,66.92
2022-02-11,47.8,71.62,5376.0,67.56
2022-02-14,47.1,71.62,5297.3,66.57
2022-02-15,47.8,71.62,5376.0,67.56
2022-02-16,47.0,71.62,5286.0,66.43
2022-02-17,47.95,71.62,5392.9,67.77
2022-02-18,47.9,71.62,5387.2,67.7
2022-02-21,48.15,71.62,5415.4,68.05
2022-02-22,48.35,71.62,5437.8,68.33
2022-02-23,48.7,71.62,5477.2,68.83
2022-02-24,47.6,71.62,5353.5,67.27
2022-02-25,48.35,71.62,5437.8,68.33
2022-02-28,48.95,71.62,5505.3,69.18
2022-03-01,49.5,71.62,5567.2,69.96
2022-03-02,44.8,71.62,5038.6,63.32
2022-03-03,45.15,71.62,5077.9,63.81
2022-03-04,43.25,71.62,4864.3,61.13
2022-03-07,40.05,71.62,4504.4,56.6
2022-03-08,38.25,71.62,4301.9,54.06
2022-03-09,38.6,71.62,4341.3,54.55
2022-03-10,37.05,71.62,4167.0,52.36
2022-03-11,37.55,71.62,4223.2,53.07
2022-03-14,33.85,71.62,3807.1,47.84
2022-03-15,34.25,71.62,3852.0,48.41
2022-03-16,36.6,71.62,4116.3,51.73
2022-03-17,38.45,71.62,4324.4,54.34
2022-03-18,38.3,71.62,4307.5,54.13
2022-03-21,38.15,71.62,4290.7,53.92
2022-03-22,41.1,71.62,4622.5,58.09
2022-03-23,40.6,71.62,4566.2,57.38
2022-03-24,40.2,71.62,4521.2,56.82
2022-03-25,38.25,71.62,4301.9,54.06
2022-03-28,38.05,71.62,4279.4,53.78
2022-03-29,39.8,71.62,4476.2,56.25
2022-03-30,42.7,71.62,4802.4,60.35
2022-03-31,41.75,71.62,4695.6,59.01
2022-04-01,43.6,71.62,4903.6,61.62
2022-04-04,43.6,71.62,4903.6,61.62
2022-04-06,41.95,71.62,4718.0,59.29
2022-04-07,41.95,71.62,4718.0,59.29
2022-04-08,41.85,71.62,4706.8,59.15
2022-04-11,41.2,71.62,4633.7,58.23
2022-04-12,42.55,71.62,4785.5,60.14
2022-04-13,42.25,71.62,4751.8,59.71
2022-04-14,42.3,71.62,4757.4,59.78
2022-04-19,41.65,71.62,4684.3,58.86
2022-04-20,42.2,71.62,4746.2,59.64
2022-04-21,42.6,71.62,4791.2,60.21
2022-04-22,42.35,71.62,4763.0,59.85
2022-04-25,41.0,71.62,4611.2,57.95
2022-04-26,41.2,71.62,4633.7,58.23
2022-04-27,41.0,71.62,4611.2,57.95
2022-04-28,40.45,71.62,4549.3,57.17
2022-04-29,42.0,71.62,4723.7,59.36
2022-05-03,41.05,71.62,4616.8,58.02
2022-05-04,41.6,71.62,4678.7,58.79
2022-05-05,41.4,71.62,4656.2,58.51
2022-05-06,39.95,71.62,4493.1,56.46
2022-05-10,40.3,71.62,4532.5,56.96
2022-05-11,41.05,71.62,4616.8,58.02
2022-05-12,40.7,71.62,4577.5,57.52
2022-05-13,40.65,71.62,4571.8,57.45
2022-05-16,40.35,71.62,4538.1,57.03
2022-05-17,41.8,71.62,4701.2,59.08
2022-05-18,41.55,71.62,4673.1,58.72
2022-05-19,40.9,71.62,4600.0,57.8
2022-05-20,41.9,71.62,4712.4,59.22
2022-05-23,41.8,71.62,4701.2,59.08
