Date,股价_港元,CNYHKD,EPS_TTM_人民币,PE_TTM_近似
2022-01-13,46.29999923706055,1.224953055381775,0.5776,65.43865342866708
2022-01-14,45.70000076293945,1.224287986755371,0.5776,64.62572596626019
2022-01-17,45.900001525878906,1.2246379852294922,0.5776,64.89000227249642
2022-01-18,48.20000076293945,1.2273249626159668,0.5776,67.99238777447874
2022-01-19,43.0,1.2265859842300415,0.5776,60.69365241135784
2022-01-20,42.150001525878906,1.2277870178222656,0.5776,59.4356987928527
2022-01-21,43.95000076293945,1.2278989553451538,0.5776,61.968227280636974
2022-01-24,42.75,1.2283389568328857,0.5776,60.254669513674195
2022-01-25,42.150001525878906,1.2299929857254028,0.5776,59.32910205176621
2022-01-26,43.099998474121094,1.2303969860076904,0.5776,60.646370057983624
2022-01-27,40.20000076293945,1.2319070100784302,0.5776,56.49642278323105
2022-01-28,37.70000076293945,1.2228009700775146,0.5776,53.37752097075462
2022-01-31,38.5,1.2246030569076538,0.5776,54.429983885599604
2022-02-04,39.599998474121094,1.22502601146698,0.5776,55.96579460614538
2022-02-07,39.849998474121094,1.224985957145691,0.5776,56.32095554015039
2022-02-08,38.70000076293945,1.2248719930648804,0.5776,54.70072525274958
2022-02-09,38.54999923706055,1.224302053451538,0.5776,54.514070479304166
2022-02-10,37.45000076293945,1.2242159843444824,0.5776,52.962271174170944
2022-02-11,37.900001525878906,1.226699948310852,0.5776,53.49013523838048
2022-02-14,40.150001525878906,1.229004979133606,0.5776,56.55939290331064
2022-02-15,41.79999923706055,1.227381944656372,0.5776,58.961613413674485
2022-02-16,42.20000076293945,1.2300529479980469,0.5776,59.39658391782449
2022-02-17,41.70000076293945,1.2308540344238281,0.5776,58.6546334175193
2022-02-18,40.45000076293945,1.2302089929580688,0.5776,56.926233799827685
2022-02-21,39.95000076293945,1.232306957244873,0.5776,56.12685490382131
2022-02-22,38.75,1.2316099405288696,0.5776,54.471751104652256
2022-02-23,39.150001525878906,1.2330180406570435,0.5776,54.971193705946156
2022-02-24,37.599998474121094,1.2358460426330566,0.5776,52.673996615417025
2022-02-25,38.75,1.2334389686584473,0.5776,54.39097664594829
2022-02-28,39.150001525878906,1.2318979501724243,0.5776,55.02117569592315
2022-03-01,41.70000076293945,1.2379369735717773,0.5776,58.319037011473775
2022-03-02,40.04999923706055,1.2385200262069702,0.5776,55.98507886122301
2022-03-03,40.95000076293945,1.2355990409851074,0.5776,57.37849688583985
2022-03-04,40.650001525878906,1.2379419803619385,0.5776,56.85034321551602
2022-03-07,38.75,1.223220944404602,0.5776,54.84532491483699
2022-03-08,36.54999923706055,1.2370729446411133,0.5776,51.15226618269911
2022-03-09,35.5,1.237218976020813,0.5776,49.67691251732884
2022-03-10,36.099998474121094,1.2378660440444946,0.5776,50.490113739638495
2022-03-11,36.04999923706055,1.2374650239944458,0.5776,50.43652335376929
2022-03-14,36.099998474121094,1.2371400594711304,0.5776,50.519742594837034
