date,nav
2025-11-28,1.041
2025-12-01,1.052
2025-12-02,1.051
2025-12-03,1.05
2025-12-04,1.044
2025-12-05,1.042
2025-12-08,1.036
2025-12-09,1.031
2025-12-10,1.026
2025-12-11,1.02
2025-12-12,1.018
2025-12-15,1.023
2025-12-16,1.012
2025-12-17,1.013
2025-12-18,1.025
2025-12-19,1.024
2025-12-22,1.019
2025-12-23,1.024
2025-12-24,1.024
2025-12-25,1.025
2025-12-26,1.025
2025-12-29,1.026
2025-12-30,1.026
2025-12-31,1.027
2026-01-05,1.025
2026-01-06,1.031
2026-01-07,1.03
2026-01-08,1.022
2026-01-09,1.022
2026-01-12,1.024
2026-01-13,1.026
2026-01-14,1.019
2026-01-15,1.015
2026-01-16,1.008
2026-01-19,1.013
2026-01-20,1.024
2026-01-21,1.019
2026-01-22,1.021
2026-01-23,1.016
2026-01-26,1.021
2026-01-27,1.017
2026-01-28,1.028
2026-01-29,1.035
2026-01-30,1.034
2026-02-02,1.016
2026-02-03,1.017
2026-02-04,1.034
2026-02-05,1.042
2026-02-06,1.042
2026-02-09,1.046
2026-02-10,1.049
2026-02-11,1.054
2026-02-12,1.047
2026-02-13,1.036
2026-02-24,1.045
2026-02-25,1.048
2026-02-26,1.042
2026-02-27,1.047
2026-03-02,1.058
2026-03-03,1.064
2026-03-04,1.056
2026-03-05,1.057
2026-03-06,1.061
2026-03-09,1.06
2026-03-10,1.055
2026-03-11,1.067
2026-03-12,1.08
2026-03-13,1.081
2026-03-16,1.079
2026-03-17,1.078
2026-03-18,1.071
2026-03-19,1.065
2026-03-20,1.062
2026-03-23,1.027
2026-03-24,1.046
2026-03-25,1.052
2026-03-26,1.053
2026-03-27,1.05
2026-03-30,1.059
2026-03-31,1.059
2026-04-01,1.058
2026-04-02,1.061
2026-04-03,1.049
2026-04-07,1.044
2026-04-08,1.054
2026-04-09,1.047
2026-04-10,1.049
2026-04-13,1.046
2026-04-14,1.051
2026-04-15,1.054
2026-04-16,1.059
2026-04-17,1.053
2026-04-20,1.061
2026-04-21,1.069
2026-04-22,1.07
2026-04-23,1.072
2026-04-24,1.069
2026-04-27,1.062
2026-04-28,1.07
2026-04-29,1.075
2026-04-30,1.07
2026-05-06,1.065
2026-05-07,1.058
2026-05-08,1.054
2026-05-11,1.055
2026-05-12,1.055
2026-05-13,1.056
2026-05-14,1.052
2026-05-15,1.047
2026-05-18,1.048
2026-05-19,1.051
2026-05-20,1.05
2026-05-21,1.043
2026-05-22,1.039
2026-05-25,1.038
2026-05-26,1.041
2026-05-27,1.03
2026-05-28,1.03
2026-05-29,1.046
2026-06-01,1.066
2026-06-02,1.067
2026-06-03,1.063
2026-06-04,1.051
2026-06-05,1.049
2026-06-08,1.045
2026-06-09,1.048
2026-06-10,1.049
2026-06-11,1.047
2026-06-12,1.059
2026-06-15,1.051
2026-06-16,1.039
2026-06-17,1.037
2026-06-18,1.009
2026-06-22,1.018
2026-06-23,1.019
2026-06-24,1.009
2026-06-25,0.996
2026-06-26,0.986
2026-06-29,0.989
2026-06-30,0.976
2026-07-01,0.983
2026-07-02,0.992
2026-07-03,0.994
2026-07-06,1.011
2026-07-07,1.0
2026-07-08,1.008
2026-07-09,0.999
2026-07-10,0.996
2026-07-13,1.003
2026-07-14,1.016
2026-07-15,1.028
2026-07-16,1.013
2026-07-17,1.012
2026-07-20,1.037
2026-07-21,1.028
2026-07-22,1.032
2026-07-23,1.039
2026-07-24,1.027
2026-07-27,1.028
2026-07-28,1.033
2026-07-29,1.043
2026-07-30,1.06
2026-07-31,1.06
2026-08-03,1.057
2026-08-04,1.04
2026-08-05,1.032
2026-08-06,1.039
2026-08-07,1.037
2026-08-10,1.043
2026-08-11,1.047
